message,classification
"rt @user o cara é uma máquina de meter a real em p*ranha

fica bem meu puto https://t.co/iencicn6se",1
"@user ô @user e @user

dá uma chegadinha aqui pra ver que processinho lucrativo por calúnia e difamação vocês podem iniciar contra a @user e o  @user

 https://t.co/6t9yuwtks6",0
que família que eu tenho pqp,1
"e voltando para o quesito dividida dessa vez vamos falar a famosa @user que estaria dividida entre miranda e medeiros, com quem ser谩 que ela vai ficar?",0
já dizia o @user  cupido filho da puta que não sabe trabalhar,1
@user que mande um link em soltinho mignon gui de arroz uma compartimentos inteirando de onde um cu pítias,1
@user kkkkk eu fico mesmo impressionada com a cara de pau,1
se ele faz isso aí na câmera imagina nas ruas em casa.,0
"rt @user vo se bem indelicada agora

meu peito tá tão inchado que tô parecendo vaca leiteira",1
"@user a melhor casa com toda sinceridade. grifinoria não dá, superestimada a realidade né? pq hermione que carregou essa casa pq se fosse depender de harry...

então quem nasceu para ser grifinoria, nunca será sonserina (e outras casas também pq não são de todo mal né só griff mesmo) https://t.co/gcvo1cyyie",0
@user porra é a pior droga kkkkkkkkkkkkkk nós mesmo,0
"rt @user @user @user @user e agora @user já pode chamar de ditadura informal ou tem que esperar o ""pau…",0
#deputadadecepçãotraíra,1
@user @user só baiano e mina do rj,0
"rt @user enquanto lá andei tudo o que queria era mudar de escola, hoje dou valor https://t.co/npiyziw1ho",0
gasolina com preço surreal e no mercado as coisas cada vez mais caro... e políticos cada vez mais rico. só safado,1
"rt @user mto caro, prefiro chupar piroca q é de graça e mais gostosa https://t.co/lbaqa3rmd9",1
"@user meu deus do céu, tem gente que não tem senso do ridículo",1
"[03/08/2019 12:58:18] mari : cortei meu cabelo
 [03/08/2019 12:58:28] mari : 10 dedos
 [03/08/2019 12:58:30] mari : tô nervosa
 [03/08/2019 12:58:44] thalya : toma no cu mariane
 [03/08/2019 12:58:50] thalya : coragem",1
@user @user kkkkkkkkkk eu entendi idiota,1
na moral vai tomar no cu vei,1
@user vou abrir o olho e não à comprar ultima da hora,0
"rt @user vai
todo mundo
perde https://t.co/mtb5zs1lio",0
"@user acho que só a primeira tava ótima, pq tipo ia passar uma mensagem e pronto",0
"ultimamente não posso ver ninguém chorando que quero chorar juntinho, que porra é essa?",1
sigo geral de volta nessa porra sou mo gente boa,0
rt @user meu único defeito eh ser meio doida https://t.co/bgyofi6ivv,0
"a rivalidade entre os meninos nos comentários disso me dá nojo. não precisa desmerecer um pra enaltecer o outro, quando as pessoas vão entender isso?",0
@user já bebi um litro de água hoje mo beba tbm se alimente se vc esperar eu chegar vc n vai comer nunca agora vai comer porra,1
minha tá puta hoje pela amor de deus,1
"por isso não peço mais porra nenhuma, tudo quer jogar na cara",0
"eu odeio a minha mania de ficar pensando em algo e não conseguir tirar aquilo da mente nunca, é uma tortura",0
"a galera tem q entender q ficar militando na net n muda nada
o mundo ta uma merda
a tendencia eh piorar
atura ou surta ",0
"@user ela não e feia,so não conhece os produtos da jaqueti akakaka",1
quem é essa moçoila. fez o que mesmo é porque mesmo? existe tanta gente boa e que faz tanto ato de herói como um bombeiro outra pessoa mais essa menina só fez oque mesmo?,1
voltando pra btu com um puta escorredor gigante ,0
"rt @user tinha q apanha mais, desaforado fdp https://t.co/eyya3nhvud",1
"deputada benedita,me sinto representada por vc ,pela jandira. #racista não passarão",0
o sua m么nica do caralho kkkkkkkk,1
"e uma chita ela né! opssss, uma chata.",1
"@user @user @user @user caraio, seria vdd
mas eu só cairia nessa jogada se fosse mongolóide",1
"rt @user é um idiota mesmo, puta que o pariu.  https://t.co/dlm4gw0mal",1
"eu ainda não arrumei nada, aposto q vou esquecer muita coisa",0
@user @user então só negro pode lutar pela igualdade racial agr? burro do krl,1
nossa mas eu tô muito puta,0
sonhei que roubavam a minha gata eu ficava desesperada correndo atrás da pessoa e metendo a porra em todo mundo que tentavam me impedir,1
"estação chopp e pagode, perfeito. só falta a claudia chegar logo",0
a viagem na maionese?????,0
todo dia uma multa de carro diferente p meu irmão,0
militares fecha o supremo! !!!!! mourão! !!!!!,1
@erichlotto programa pra hoje a noite ,0
"rt @user prédio mt bonito, saudades de te mirar sacana https://t.co/l2pakgaosy",0
@user nem conta horrorosa,1
@user bolsonaro surfistinho...,0
rt @user porque não dá valor quando tem? agora quer surtar porque a pessoa toco a vida a faça mil favor,0
"lembrei das aulas de filosofia
professor explicando algum conceito: a
eu puxando briga: cade tua voz, fulano?",0
"@user tem dia a manifestação?
7 de setembro?",0
pastor mequetrefe que incentiva a violência....só fala asneira....vá trabalhar.....gosta de aparecer.,1
isso não tem preço,0
"@user ou莽o essa m煤sica todo dia na frente do espelho e me lembro, mais uma vez, da mulher foda linda da porra que eu sou, obrigada, nego da porra 馃挍 #negritude",0
ela é uma pirralha mesmo querendo se aparecer...,1
@user @user @user ent茫o me mostra onde diz o contr谩rio disso na conduta de um ju铆z.,0
rt @user @user caralhoooooooooooo tu é a mas braba fdp kkkkkkkk,1
zoia o preço do lanche pqp,0
"@user e ainda tem gente retardada achando que isso não existe, sinceramente não consigo entender.
#elenao",1
"@marinitomazi basta assistir a invasão do mst, foi bem pior!",1
rt @user estou tão gorda jasus,0
@user @user kkkkkkkkkkkkkkk mas cara de pau logo,0
@user simmmmm pqp,0
"eu mando algo relacionado a turismo aqui em fortaleza pra lysandra e ela pergunta ""que que tem?""",0
"gente quantas maldades, essa história de que daqui a 10 anos o brasil será melhor, é absurda , até quando os bolsominions, continuarão com o manterá a culpa é do pt, até quando essa lobotomia fará efeito, com uma receita de bilhões, deixada nos cofres e essa praga fascista usurpando , vendendo tudo e prejudicando somente os menos favorecidos, em favor de empresários e grandes fortunas ?",1
"@user é que tem gente aqui que não me conhece ainda
e na sua turma teve cada pérola de resposta que meu deus",1
@user falha pra cacete.. não acho não.,1
essa calhorda já está enrugada de tanto mentir e de pagar mico contra o governo bolsonaro! quando será que vai tomar vergonha na cara?,1
@user mion ta todo mundo pedindo a laura keller na fazenda chamem elaaa,0
"gente eu fui pré selecionada!!!

a arte mais curtida e comentada vai ser estampada na nova coleção da loja!

por favor me ajudemmm kkkkk curtam e comentem pra mim por favorrrrrr 

https://t.co/adfezu2npq https://t.co/yd92ki7w5u",0
"@user @user todo apoio a ricardo galvão, longa vida a nosso cientista que enfrentou o fascismo de frente, o covarde nao foi capaz de olhar nos olhos dele e repetir suas acusações, isso sim é forte de verdade, tem compromisso e assume suas responsabilidades  não é um machinho como bolsonaro",1
caralho q petardo filho,1
"antes do banho sempre ganho uma mamada do meu puto @user 

enjoy it all here
https://t.co/ikunrpjebe 

subscribe now!

 https://t.co/q2qvwwjpma",1
to triste pq ricardo fica brigando comigo ,0
enfie 3l de catuaba no seu cu: confie na sua capacidade de passar vergonha sextando,1
"#turmafeiravizinho 
dai a mulher xingou minha mae e foi embora para casa dela (no caso do lado da minha ksks),o fdp do filho dela nao parava de tocar auto pra caralho e minha mae um pouco alterada de substâncias de álcool jogou um tijolo na casa da vizinha e quebrou a janela dela",1
@user porra não é amanhã?,1
"rt @user os comentarista me chamam de ""clayson"" ""glau"" mo ódio de vdd https://t.co/m2bqmaezqi",0
incrível como tem gente que gosta de me tratar como lixo,0
"se minhas amigas me ouvissem mais, tomariam menos no cu. boa tarde.",1
"na verdade bolsonaro não está governando, continuamos nas mãos da esquerda maldita!!!",1
"to com umas brabinha pra lançar, mas só de pensar que vai ter varias copia , desanima legal",0
porcos porcos porcos. e sai do meu bolso o dinheiro pra esses políticos porcos. que me desculpem os porquinhos.,1
porra bia minha filha tu não pode fazer isso cmg nao,1
"@user acabei de ver os 2 últimos pois n tinha visto. a novela é leve, divertida. estou ansiosa p ver o desenrolar dessa descoberta e da relação dela com fagundes. vamos saborear!",0
vôlei #brasil #berlandia @user https://t.co/lfpinvvu4t,0
@user @user fala oq mano cansei de fala dessa porra,1
"esse governo está ótimo  de um lado o pior presidente e do outro o pior ministro, mais perdido do que cego em tiroteio",1
esse cara é o pior man kkkkkk,0
cada dia q passa um nervoso diferente,0
essa e uma enviada de deus e uma profeta coracjoso fala com a força do esprito santo que nao deixa calar das injustica eum fenômeno enviada amem,0
"@user caralho, preciso comprar um!! nunca vi aqui  na bahia ",1
bodas de tulipas aqui papai,0
rt @user como que faz quando nenhum dos dois é flor que se cheira,0
verdade! é preciso ser sábio e medir as palavras para não dar brechas aos inimigos! a vitória com sabedoria e verdade conquista uma nação!,0
"trabalhar nesse sábado e essa chuvinha ainda, pqp",1
"pelo amor de deus, cadê o pai desta criança não vai, fazer nada só porque o veio do sbt é amigo do bozo?",1
rt @user fecha nada. anvisa é autarquia criada por lei. https://t.co/oi2ogjsu3o,0
@user perder? ou deixar de arrancar ? vai falar merda na pqp,1
"rt @user tava dando vários beijinhos no rosto dela e é desse jeito q sou tratada, virou crime ser carinhosa  https://t.co/10o9kwnv6n",0
"@user é como ouro nas nossas mãos, é só trabalharmos e temos a life feita calma puto",1
"ridículo esse tal de silvio santos , ficou rico às custas da ignorância do povo!",1
"@user puta que pariu, minha irm茫! falou que me ama mais uma vez kkkkkkk",0
@user mano que dlç pqp,1
@user @user ma vai toma no cu veio diabento,1
"@user @user eu descobri uns anos atrás que tem gente que ao invés de alucinógenos usa uma cartela de dramin, funciona",0
eu só fui dormir com a minha amiga e acordei morrendo com smtown pqp surto,1
"rt @user odeio gente com mania de grandeza, que tudo dela 茅 melhor e blablabla tnc no final vai todo mundo pro mesmo buraco",0
tô deletando todos que são contra bolsonaro,0
"os dois times brasileiros mais valiosos são palmeiras e flamengo, com elencos avaliados em € 100 e € 115 milhões

o elenco do porto, eliminado nas oitavas da ucl este ano após 5x0 do liverpool, passa dos € 400 milhões 

tem de usar muita droga para achar que dá para competir",0
@user oi pérola,0
@user tem algum palhaço aki ??,0
"to com fome e meu caldo não chega, porra",1
"eu tô bem chocada com esses comentários, o que passa na cabeça desse povo?",0
"-q lugar eh esse? 
-gramado!! 
-eh vagabunda? q legal vadia e seguiu meu namorado pq?? vontade de dar??????",1
rt @user olha o pau do jogador  https://t.co/egr6awyjr5,1
tem o meu respeito.,0
"""deus conhece a sua estrutura, sabe o que está fazendo, mesmo que seja difícil, não pare ele está vendo..."" vale a pena cada esforço, tudo feito c muito amor e carinho. só deus sabe o quanto é difícil, mas a cada dia ele me dá forças e me sustenta! aguardo vocês amanha  https://t.co/pxu6xczkdt",0
dois lindos na parede,0
"essa menina reclama 24/48 do filho e do namo/marido dela no instagram, da dó da criança pq olha.......td mundo sabe q ser mãe eh cansativo mas porra q chata",1
"t么 precisando de um desses , lindo demaaaais",0
@user @user @user @user camarote de comunista ralé é na globo lixo!,1
tô com raiva vsf,0
chega de tanta corrupção tanta roubalheira tanta incompetência tanta maldade tanta falsidade,1
"脡 curioso isso mas em espanhol, meio errado mas n茅, eles se referem as vezes a brasileiro como carioca, assim como aqui no brasil nos referimos a argentino como portenho (e portenho 茅 s贸 buenos aires).",1
caralho funciona mesmoo,1
@user fdp do caralho mano https://t.co/k1vmzksgzu,1
"odeio qnd fico entalada sobre algum assunto, aí sempre escrevo um textão no bloco de notas pra me dar uma aliviada",0
@user hahahahahaha pois espero a retribui莽茫o,0
"trauco se despede do #flamengo e se declara ao clube: 

“deixo com as melhores lembranças e uma das melhores experiências que a vida poderia me dar. obrigado aos meus companheiros de equipe e a torcida oor esses 3 anos mágicos. eles sempre estarão presentes em mim. #mengãopravida https://t.co/a8wuya7lpu",0
manda ela.cuidar da vida dela..do brasil .os brasileiros cuida ,1
"n entender física e matemática ok, agr n entender a química q rola entre nos qnd a gente se olha atiçando p ver qm resiste mais já é dmss",1
"estou juntando dinheiro no cofre, focoooo vou encher essa porra toda!!",1
os comentários são o que há de melhor,0
rt @user @user não dá p da moral kkkkkkkkkkkkk,0
apenas mais um para o lixo da história.,1
"https://t.co/2bs6od330q

ele até que pediu pra não botarmos as fotos, mas a verdade não pode ser reprimida.

nas imagens, @user e ó ex-coronel da pm chavarry duarte, acusado de estupro a vulnerável neste domingo. 

#elenão

as ameaças dele, de nada valem. https://t.co/gd2j98vrkg",0
bolsonaro nosso lider,0
"que hacker é esse que, tendo invadido celular do moro, só vazou conversas dele com dallagnol (e, no geral, só conversas que tinham dallagnol como vetor)? que hacker é esse que, podendo adulterar msgs, só publicou msgs que o próprio moro considerou justificáveis, ""se reais""?",0
"muito fácil postar fotinha bonita, chamar de amor e os caralho mas ninguém sabe que a conversa, a sinceridade e o respeito muitas vezes não existem!",0
puta que pariu que jogo foi esseee,1
"ainda tem idiota que fala que  so é  futebol, nunca sera so futebol https://t.co/8y2cf7zkyb",1
muito obrigada por ter essa voz para com o povo negro desse país . dos meus olhos saíram lágrimas .,0
"@user não sei se é o caso, mas alguns países de língua espanhola, usam o termo carioca para todo o brasil, do mesmo jeito que alguns usam portenho para toda argentina.",0
@user @user copo vem primeiro mano copo é o menos sujo,0
tu mereces professor haddad,0
"rt @user @user @user @user pqp o que falar?? 
só tenho a dizer uma dupla perfeita..lindossss",1
rt @user patrulha do cu deu rt no meu tweet mandando os veteranos tomar no cu kkkk gente olha a falta do que fazer,1
maior setor de serviços do mundo....,0
"ela dizendo que os capitalistas lhes roubaram a infância por causa do aquecimento global.. se ela soubesse que lula, o pt, o pmdb e cabral roubaram escola, merenda, hospitais, remédios de todas as crianças brasileira.. acho que ela nem botava a cara na onu....",1
"garoto se eu te pego eu sento tanto nesse teu pau com força vc vai gemer tao alto q o som vai ultrapassar a estra… — eiiitaaaapohaaa , chama no pv bb vamo marca essa coroação aí  https://t.co/zretsucezm",1
kkkkkkkkkkkkkkkk pqp,0
"que bosta mano, ja n vou no dérbi agora tbm n vou pra sorocaba vai se foder",1
"@user @user é falta de boas (ótimas) contratações! seria leviano de minha parte dizer q não contratamos muitos jogadores. mas jogador q muda patamar de um time foram poucas. então q se tenha ambição e q se faça poucas, mas boas (ótimas) contratações. q se tenha mais critérios.",0
emocionante! é hora de nos voltarmos ao essencial! estamos cansados de gente que não nos representa! #nãoexisteplanetab,0
é uma pirralha escrota mesmo,1
rt @user gandra até meio que compensa mas porra transportes tá queto... esperar até às 7:30 da manhã por ele,0
ô compesa fdp,1
continua sendo uma pirralha,1
 esse borsa é um bosta mesmo,1
@user vai comer logo alguma coisa porra,1
"tudo bem !!! assim o grupo globo vai todo em cana, junto com a folha e outros!!!",1
que vergonha....pra nao dizer bandidos mesmo é o que eles são.,1
"@user @user @user @user ketchup é pessimo
maionese fica bom com tudo",0
porra cade o sol,0
vai se tratar,1
o-l-i-m-p-í-a-d-a,0
@jose1ete nem pra isso ele tem competencia! ô medão!,1
"rt @user em todas as despedidas, a parte mais triste é quando chega no tn, pqp https://t.co/1rfydftkj8",0
"@user temos q mudar a cf/88! 
ministro só pode ser investigado por decisão do próprio stf,
impeachment só acontece por votação do stf.
tem q ser por maioria das 2 casas legislativas. o stf não pode autorizar investigação, até investigar e depois julgar, ou seja, porcos julga porcos ?",1
esse cara tá desequilibrado lulalouco,1
rt @user adoro ver gente se pagando de amorzinho e sentimental na internet e na vida real é um pau no cu do caralho.,1
"melhor comentarista que o nisso país tem . realista , verdadeiro . assino embaixo para ser comentarista econômico do nosso presidente .!",0
ministra a senhora vai sair do governo ? (que  esse reporter pagou ao vivo),0
"rt @user mt caro, prefiro chupar outra coisa https://t.co/bknp9cgocz",1
frio da porra socorro jesus cristo,0
rt @user ja vos disse q net da nos é uma merda ?,0
caralho minha bio ta perfeita meu,0
@user pode deixa ,0
"@user a que ponto vc chegou , não tem um comentário se quer a seu favor, 

deve viver um uma realidade paralela e não se da conta de que fracassou miseravelmente na carreira!",1
"é muito vacilo, falsidade, mimimi, cobrança e má fé. por isso que cada vez mais eu considero menos pessoas.",1
"vi umas fotos antigas, bateu a maior saudade do viado do lukão",1
rt @user amo assistir jogo de vôlei pqp,0
tá virando um maconheiro do caralho em  — quer atenção vc ? https://t.co/8uwawwtqhd,1
"to trabalhando e estudando que nem uma puta merda, dormindo 6 hrs por noite mas to tão orgulhosinha de mim",0
"jr some, mermão pqp",1
posso até ter vacilado mas pica nunca falto,1
nunca mais eu tento fazer amizade virtualmente pq nunca da certo mesmo,0
" olá  tudo bem ? somos atacadistas e vendemos no mínimo 60 peças !!! sai a 10,00 a unidade !!! acima de 100 peças sai a 9,00 a unidade ! tamanho 45x45 ! ponto ajour feito a mão ! pagamento via depósito bancário !! obs; pode ser de cores diversas como desejar",0
acabou a mamataaa!!!,1
@user se fuder,1
"puta merda que tem parente que acha que a casa do casa é restaurante e eu sou uber, n basta achar que minha casa é chácara pra ir todo fim de semana e levar quem quiser ainda tem que busca em casa,  vai se fude abusivos do krl.",1
"maltinha é abrirem o link e meter like, bora bora bora",0
"nenhuma, mas va dizer isso aos burros que o elegeram!",1
se definido for barriga tanquinho então tenho 9/10 mas fodasse . duvido que pica grossa não dê ao menos 1 ponto :v,1
"rt @user .
vtnc stf  !!!

#stfvergonhanacional https://t.co/rd8vgtkcu6",1
imagina pra mim que nem isso eu tenho,0
@user @user parabéns pela atitude.,0
@user ô porra,1
dou pala c esse video pqp,1
então cala a sua boca https://t.co/cilolq1ran,1
"oq minha família tem contra eu ficar quieto no meu quarto fechado ?!
caralho, vou pra rua beber e usar drogas
acho que eles ficam mais tranquilos assim",1
"@user mulher no começo tava uma vibe tao boa sabe
ai do meio pro fim kkk
ainda tive q ouvir macho dizendo q o pinto dele não ficava tão duro ???????",1
"comprei termogenico pra tomar antes do treino, nunca usei essa porra! tô morrendo de medo kkkkkkkkk alguém já usou?",0
"""hur dur na sonseeina nao tem só vilao"" eu sei corno se vc tivesse lido o caralho do livro tb ia saber inferno para de querer se achar o diferentao so tem gente arrogante nesse caralho dessa casa",1
"acabei de receber uma ajuda divina do @user 
gostoso da porra kkkkkkkkkkkkkkkkkk",0
"cidadão de bem = bicho burro
por isso o gado é contra a educação https://t.co/xwtswiqrw3",1
obrigado por ser parte da minha vida te amo mt mesmo ,0
ordem e progresso!!!,0
vai se fuder mano o maldito ainda nem deu aula sussega o faxo,1
"esses cara q fica postando vídeo falando q é da roça, jogar eles embaixo de uma vaca vai tudo moia as calças se botar pra tirar leite",0
@user kkkkk podia ter dormido sem essa.,0
@user ultimamente tem aparecido muito isso de comer o cu de homens ne,1
rt @user só queria dize que to feliz pq troquei ideia com o @user e o @user e vo joga pubg com eles,0
eu tenho raiva de gente biscoiteira puta que pariu,1
rt @user @user saudade bixa,0
falou tudo greta thunberg.,0
passa a vergonha no crédito por favor... o dinheiro acabou!!!! ,1
que jogo do caralho.,1
caralhoo caralho eu preciso ir,1
"rodei, nunca mais mato aula nesse carai",1
estamos juntos contra esse bandido terrorista,1
"rt @user bolsonaro precisa tomar o stf e moralizar esta suprema corte indecente, corrupta, covarde e sem moral. concordam? 
#pr…",1
@user esse site é um lixo,1
chic esses filhos do mito ,0
caralho acordei derrotada da gripe,1
"esses foram 6 dos 12 gols de messi na champions. ele marcou 6 gols na fase de grupo e 6 gols no mata-mata. teve o gol mais bonito da competição, marcou golaços e foi 5 vezes o melhor da semana.

um dos melhores desempenhos individuais da história da ucl! https://t.co/guncovhv2x",0
amores da minha da minha vida não vou esquecer vcs jamais ,0
"se faz de velho e soltando as deles, onde está o eca que nestas horas não aparece.",1
"o tanto que eu amo essa criança, mds, ela me tem por inteiro, um nenê que eu ganhei na vida  !!! minha neguinha https://t.co/ljliyvjmmd",0
vou com um shortinho beira cu mas tenho vergonha de ir de legg .... os ovos vão tudo ficar aparecendo. deus me free,1
@user manda ft pra mim,0
@user caralho olhei rápido e pensei q era tu,1
eita homem lindo! por mim era nosso presidente!,0
"chorando de raiva porque soltaram de novo um vagabundo que assassinou uma pessoa e estava ameaçando outras pessoas, até perseguiu uma moça no coral!!! mas não podem prender ele porque ele está solto legalmente!!!! que merda",1
"com a dilma vocês queriam estocar vento, agora com o taxad devem querer é taxar o ar que respiramos também para bancar o governo",1
caralho para de agir como se nada tivesse acontecido fazendo favor que você falou merda???,1
"rt @user porra eu n espero mais nada de ngm, garoto tóxico do caralho",1
n vou nem perder meu tempo falando alguma coisa pq eu n tô com cabeça,0
pq toda vez que alguém me conta sobre facada nas costas sobre usa as pessoas como elas fossem um nada me lembra toda aquela filha da putagem e man até hj não escutei história mais filha da puta do que a minha que passei,1
@user cocô instantâneo é mais burro do que imaginava.,1
@user ahahahahah pq será q estão tenso?,0
tomar no cu viu vei,1
moço mexer nas minhas blusas da high é pedir pra eu ficar puta,0
não sei como alguém pode acumular tanta coisa quanto a titia acumula,0
amo q amo kk,0
"@user @user sim! pqp. não suporto usar capinha, veeey",1
"n gosta de ver foto minha fumando para de me seguir porra, pra que ficar falando merda",1
"brindes personalizados casa da homenagem.

traga sua ideia, nós temos a solução...
.
solicite seu orçamento contato@user ou pelo whatsapp: 99644-9040.

#kids #infantil #uberlandia #brindes #trofeus #presentes # #personalisado #casadahomenagem #sale # https://t.co/najv0hgd3n",0
que susto vsf,1
"rt @user ""gastei minha buceta atoa""

-chagas soraya",1
"@user o comedor de traveco, a direita ta pedindo o impechment do dias toffoli faz tempo, você não deve saber porque bloqueia todo mundo. volta pros teus pornôs cara",1
"@user rala rolas
abraço hetero é um cara ralando a rola na rola do outro",1
@user lambe meu cu,1
o que você fez pra receber tal honraria?,0
"rt @user não tenho coração pra esse vôlei mais!! pqp, vamo meninaaas",1
@user c tá de zoas fdp kkk,1
@user vc é ridícula,1
@user fiquei feliz pelo meu filho. primeira vez em oito anos de idade q ele vê o time nas quartas da libertadores.,0
só pode ser piada este vídeo! que vergonha,1
@user @user viado com certeza...,0
"@user @user ""lixo branco"" foi o ápice, camarada.",1
ele nao é gagá. ele é fruto dessa sociedade misogina que aplaude qq merda q ele faz,1
"eu: hmmmm, quero ",0
@user @user vai ser perfeita (espero),0
"não sei como as pessoas n gostam tanto de vôlei e handball igual gostam de futebol, os nossos times tanto feminino qnt masculino são do caralho",0
ela é uma pirralha sim!,1
"caralho, que vida insuportável.",0
"ja acordo me estressando,porra não é possível",1
" debochado, foi bem pago..",1
como sei o que ela esta sentindo. força ministra deus ergueu a senhora para um propósito maior.  #somostodosdamares,0
passei mal para um cacete de madrugada e nao estou preparada fisica e psicologicamente pra sentir colica menstrual no no no nooooo,1
"@user vê esse vídeo manin! vê se cê não fica com pau na testa inspiradaço pra tocar!
https://t.co/naxdohk4df",1
toda vez que vou abraçar alguém com a orelha eu só escuto: “aí minha orelha caralho”,0
"na moral, nada como um latino com cara de quem vai acabar a minha vida pqp desgraçados",0
"@user quando eu trabalhava lá a gente pensava a mesma coisa

cada lanche que a gente fazia era um pensamento ""puta merda isso aqui vai da um colesterol brabo""",1
tiraram dilma do poder e lula da disputa.,0
queria foder,1
@user @user vai pra casa do caralho,1
@user o hacker não apareceu no starbucks e agora não virá mesmo. #hackertapresobabaca,0
"o criança para ser feia — desculpa, mas ra falando da criança errada  https://t.co/unxm6akksr",1
pqp kkkkkkkkkkkkkkkkkkkkkkkkkkkk https://t.co/tsnpp4irlx,0
2 pessoas super inteligentes...,0
"@user tá na hora de ajudar a nossa floresta amazônica pois todos sabemos que está  totalmente sendo destruída , a senhora poderia fazer uma nota para a imprensa mundial alertando a todos sobre essa situação no nosso país. contamos com teu apoio.
#salveaamazônia",0
"[2/8 22:15] júlia albert : amanhã vamos sair 14h
[2/8 22:20] pretinha : tá bom amor

já vai dar 13h e a bonita ainda não acordou",0
"@user agora não me dá mais, mas antes, porra",1
será que iram prender todos os militontos de esquerda?!...,1
anda bem sempre fui do lado do pt e sempre serei,0
caralho finalmente um meme que representa 100% do que eu sou https://t.co/qtfd90r4ew,1
vão fazer o mesmo com a lei de abuso de autoridade. vão derrubar todos os vetos do presidente @jairmessiasbolsonaro,0
"mi mi mi mi mi mi mi mi. vc é uma vergonha, não representa o povo do rs.",1
foi genial dupla foda ,0
@user @user sim...até que ele se juntou ao canalha que vai destruir oque richard usa pra ''trabalho'' ou seja...a natureza,1
uma arrombada essa menina se eu pego ela esqueço meu senso e dou um soco,1
rt @user carai nunca vou cansar de dizer que os prof do ideal são perfeito,0
"main vocal, main rapper, dancer, produtor, compositor, jogador de futebol, visual, engraçado, gentil, poliglota, metade brasileiro, cho seungyoun. https://t.co/vbsw0yqyif",0
"@user vai ficar feio mesmo quando a reforma da previdência passar de vez. aí, o resto da ""direita na economia"" vai-se aliar de vez com a centro-esquerda para derrubar o governo.",0
"baixe a bola você, miliciano virtual de fake news.",1
"a greta thumberg essa menina é a reencarnação do bem, em pessoa...a luz e a força dela a gente só viu em jesus, gandhi..mandela..l king",0
"tô chorando junto ,pqp #voleinosportv",1
@user parab茅ns 鉂わ笍,0
"@user chupo seu rabo, meto a lingua, deixo bem molhado depois meto a rola... https://t.co/sbu7mvqv5q",1
essa aqui q vou fazer,0
rt @user eu só sei lá... me sinto deslocada em qualquer lugar que vou/estou,0
@user santos por causa do da cidade que é um ponto forte de pesca e os caraio,1
o brasil vai dá certo!!!,0
pqp nunca teve tanta gnt nas minhas nots #mpn #nowunited #uniters,0
eu falo isso mas chega de manhã e eu fico puta pq perdi horas de sono,0
que resenha show ,0
"@user eu apoio a porra toda, mas nn curto ficar falando só de shipp, eles são um grupo caceteeeee",1
@user odeio essa putinha de like ela me bloqueou consigo ver nada nesse caralhoo que ódio,1
"@user claro q vai caralho olha a mulher incrivel que voce é, voce pode tudo porra vamo la q esse mundo é teeeeeeeu",1
